Planet Name,Host Star,Number of Stars,Number of Planets,Number of Moons,Discovery Facility,Discovery Method,Discovery Telescope,Discovery Instrument,Discovery Year,Planet Radius [Earth radii],Planet Mass [Earth mass],Planet Density [g/cm^3],Equilibrium Temperature [K],Distance from Earth [pc],Spectral Type
HAT-P-7 b,HAT-P-7,2,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2008-01-01,16.421,571.77617,0.712,2194.0,341.079,
HAT-P-7 b,HAT-P-7,2,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2008-01-01,16.713,534.59006,0.629,2700.0,341.079,
HAT-P-70 b,HAT-P-70,1,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2019-01-01,20.961,2154.8874,1.54,2562.0,330.739,
HAT-P-8 b,HAT-P-8,3,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2008-01-01,16.81,483.08,0.568,1700.0,211.553,
HAT-P-9 b,HAT-P-9,1,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2008-01-01,15.614,238.05467,0.342,1540.0,455.203,
HAT-P-9 b,HAT-P-9,1,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2008-01-01,15.69,247.9,0.35,1530.0,455.203,
HAT-P-9 b,HAT-P-9,1,1,0,HATNet,Transit,Canon 200mm f/1.8L,2K CCD Sensor,2008-01-01,15.468,247.27174,0.366,1540.0,455.203,
HATS-1 b,HATS-1,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2012-01-01,14.594,589.55,1.03,1359.0,283.971,
HATS-10 b,HATS-10,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,10.862,167.17858,0.7,1407.0,534.889,
HATS-11 b,HATS-11,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,16.926,270.1555,0.299,1637.0,944.603,G
HATS-12 b,HATS-12,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,15.132,756.4354,1.19,2097.0,746.138,F
HATS-13 b,HATS-13,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,13.585,172.58169,0.377,1244.0,421.855,
HATS-14 b,HATS-14,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,11.646,340.39593,1.191,1276.0,513.011,
