Planet Name,Host Star,Number of Stars,Number of Planets,Number of Moons,Discovery Facility,Discovery Method,Discovery Telescope,Discovery Instrument,Discovery Year,Planet Radius [Earth radii],Planet Mass [Earth mass],Planet Density [g/cm^3],Equilibrium Temperature [K],Distance from Earth [pc],Spectral Type
HD 191939 b,HD 191939,1,6,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,3.39,10.4,1.5,893.0,53.6089,G
HD 191939 c,HD 191939,1,6,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,3.195,8.0,1.35,600.0,53.6089,G
HD 191939 c,HD 191939,1,6,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,3.08,7.2,1.4,605.0,53.6089,G
HD 191939 d,HD 191939,1,6,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,3.04,5.8,0.5,549.0,53.6089,G
HD 191939 d,HD 191939,1,6,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,2.995,2.8,0.57,540.0,53.6089,G
HD 202772 A b,HD 202772 A,2,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,17.318,323.23311,0.343,2132.0,161.498,
HD 20329 b,HD 20329,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,1.72,7.42,8.06,2141.0,63.6796,
HD 207496 b,HD 207496,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2023-01-01,2.25,6.1,3.17,743.0,23.606,K
HD 207897 b,HD 207897,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,2.501,14.4,5.05,632.0,28.2938,K
HD 209458 b,HD 209458,1,1,0,W. M. Keck Observatory,Radial Velocity,10 m Keck I Telescope,HIRES Spectrometer,1999-01-01,15.233,217.704,0.338,1449.0,48.3016,
HD 209458 b,HD 209458,1,1,0,W. M. Keck Observatory,Radial Velocity,10 m Keck I Telescope,HIRES Spectrometer,1999-01-01,15.468,226.93062,0.362,1459.0,48.3016,
HD 209458 b,HD 209458,1,1,0,W. M. Keck Observatory,Radial Velocity,10 m Keck I Telescope,HIRES Spectrometer,1999-01-01,15.7,219.29,0.34,1450.0,48.3016,G
HD 213885 b,HD 213885,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,1.745,8.83,9.15,2128.0,48.0883,G
HD 21749 c,GJ 143,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,0.892,3.7,31.93,701.0,16.32,K
HD 219134 b,HD 219134,1,6,0,Roque de los Muchachos Observatory,Radial Velocity,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,2015-01-01,1.602,4.74,6.34,1015.0,6.53127,
HD 219134 c,HD 219134,1,6,0,Roque de los Muchachos Observatory,Radial Velocity,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,2015-01-01,1.511,4.36,6.95,782.0,6.53127,
HD 219666 b,HD 219666,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2018-01-01,4.71,16.6,0.87,1073.0,94.1719,
HD 22946 d,HD 22946,1,3,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2023-01-01,2.607,26.57,10.8,546.0,62.7792,
HD 23472 b,HD 23472,1,5,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,2.0,8.32,6.15,543.0,39.0341,K
HD 23472 c,HD 23472,1,5,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2019-01-01,1.87,3.41,3.1,467.0,39.0341,K
HD 23472 d,HD 23472,1,5,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,0.75,0.55,7.5,909.0,39.0341,K
HD 23472 e,HD 23472,1,5,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,0.818,0.72,7.5,723.0,39.0341,K
HD 23472 f,HD 23472,1,5,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,1.137,0.77,3.0,630.0,39.0341,K
HD 260655 b,HD 260655,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,1.24,2.14,6.2,709.0,10.0055,M
HD 260655 c,HD 260655,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,1.533,3.09,4.7,557.0,10.0055,M
HD 3167 b,HD 3167,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.574,5.69,8.0,1759.0,47.2899,
HD 3167 b,HD 3167,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.627,4.73,5.5,1777.0,47.2899,
HD 3167 b,HD 3167,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.67,4.97,5.6,1774.0,47.2899,
HD 3167 c,HD 3167,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.923,10.67,2.35,565.0,47.2899,
HD 3167 c,HD 3167,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.0,11.13,2.11,564.0,47.2899,
HD 3167 c,HD 3167,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.74,8.33,2.21,548.0,47.2899,
HD 332231 b,HD 332231,1,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,9.718,77.55052,0.464,876.0,80.6665,F
HD 5278 b,HD 5278,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,2.45,7.8,2.9,943.0,57.5846,F
HD 63935 b,HD 63935,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,2.99,10.8,2.2,911.0,48.9739,
HD 63935 c,HD 63935,1,2,0,Multiple Observatories,Radial Velocity,Multiple Telescopes,Multiple Instruments,2021-01-01,2.9,11.1,2.5,684.0,48.9739,
HD 73583 b,HD 73583,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,2.79,10.2,2.58,714.0,31.5666,K
HD 73583 c,HD 73583,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2022-01-01,2.39,9.7,3.88,498.0,31.5666,K
HD 80606 b,HD 80606,2,1,0,Multiple Observatories,Radial Velocity,Multiple Telescopes,Multiple Instruments,2001-01-01,11.243,1307.55262,5.08,405.0,66.4711,
HD 80653 b,HD 80653,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2020-01-01,1.613,5.72,7.47,2463.0,109.86,
HD 86226 c,HD 86226,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,2.16,7.25,3.97,1311.0,45.683,G
HD 89345 b,HD 89345,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,7.398,34.9613,0.471,1089.0,132.345,
HD 89345 b,HD 89345,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,6.86,35.7,0.609,1053.0,132.345,
HD 89345 b,HD 89345,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,7.263,38.45743,0.547,1068.0,132.345,
HD 95338 b,HD 95338,1,1,0,Las Campanas Observatory,Radial Velocity,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,2020-01-01,3.89,42.44,3.98,385.0,36.9941,K
HD 97658 b,HD 97658,1,1,0,W. M. Keck Observatory,Radial Velocity,10 m Keck I Telescope,HIRES Spectrometer,2010-01-01,2.247,7.55,3.9,757.0,21.5618,K
HD 97658 b,HD 97658,1,1,0,W. M. Keck Observatory,Radial Velocity,10 m Keck I Telescope,HIRES Spectrometer,2010-01-01,2.12,8.3,4.8,751.0,21.5618,K
HIP 116454 b,HIP 116454,2,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2014-01-01,2.53,11.82,4.17,690.0,62.4491,K
HIP 116454 b,HIP 116454,2,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2014-01-01,2.53,10.1,3.41,745.0,62.4491,
HIP 65 A b,HIP 65 A,2,1,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2020-01-01,22.754,1021.18779,0.48,1411.0,61.7856,K
HIP 97166 b,HIP 97166,1,2,0,Transiting Exoplanet Survey Satellite (TESS),Transit,0.1 m TESS Telescope,TESS CCD Array,2021-01-01,2.74,20.0,5.3,757.0,65.9501,K
K2-100 b,K2-100,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.88,21.8,2.04,1841.0,188.959,G
K2-107 b,K2-107,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,16.141,266.9772,0.35,1780.0,685.2,F
K2-108 b,K2-108,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,5.28,59.4,2.22,1446.0,477.295,
K2-110 b,K2-110,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,2.592,15.9,5.02,638.0,116.474,
K2-110 b,K2-110,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,2.592,16.7,5.2,640.0,116.474,K
K2-111 b,K2-111,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,1.9,8.6,6.6,1309.0,200.394,
K2-111 b,K2-111,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,1.82,5.58,5.0,1309.0,200.394,
K2-113 b,K2-113,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,10.424,410.0007,1.97,1178.0,635.722,G
K2-114 b,K2-114,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,10.447,638.8351,3.08,701.0,475.758,
K2-114 b,K2-114,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,10.559,587.9855,2.99,719.0,475.758,
K2-115 b,K2-115,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,12.498,266.9772,0.82,682.0,413.591,
K2-12 b,K2-12,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,2.44,5.2,1.6,1026.0,326.381,
K2-131 b,K2-131,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,1.69,7.9,8.8,2223.0,152.509,
K2-136 b,K2-136,2,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,1.014,4.3,24.0,610.0,59.2474,
K2-136 c,K2-136,2,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,3.0,18.1,3.69,470.0,59.2474,
K2-136 d,K2-136,2,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,1.565,3.0,4.3,420.0,59.2474,
K2-139 b,K2-139,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,9.057,123.00021,0.91,565.0,153.856,K
K2-140 b,K2-140,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,12.274,323.86877,0.963,1114.0,347.917,G
K2-140 b,K2-140,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2017-01-01,13.563,295.58042,0.66,962.0,347.917,G
K2-141 b,K2-141,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.54,5.31,8.0,2039.0,61.8736,K
K2-141 b,K2-141,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.51,4.97,7.93,2103.0,61.8736,
K2-141 c,K2-141,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,7.0,8.0,0.081,695.0,61.8736,
K2-167 b,K2-167,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.3,6.5,2.87,1174.0,80.8994,
K2-18 b,K2-18,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,2.38,7.96,3.3,235.0,38.0266,
K2-18 b,K2-18,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,2.61,8.63,2.67,255.0,38.0266,
K2-18 b,K2-18,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,2.37,8.92,4.11,284.0,38.0266,
K2-180 b,K2-180,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.242,11.44182,5.6,729.0,203.896,K
K2-182 b,K2-182,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.69,20.0,5.6,969.0,154.83,
K2-199 b,K2-199,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.73,6.9,7.2,913.0,107.518,
K2-199 c,K2-199,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.85,12.4,2.9,694.0,107.518,
K2-216 b,K2-216,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.75,8.0,8.2,1103.0,115.461,K
K2-222 b,K2-222,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.35,8.7,3.68,871.0,101.321,
K2-229 b,K2-229,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.164,2.59,8.9,1960.0,102.564,
K2-229 c,K2-229,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.12,21.3,12.8,800.0,102.564,
K2-232 b,K2-232,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,11.859,123.00021,0.405,1001.0,130.72,
K2-233 b,K2-233,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.343,11.26,26.26,1121.0,67.5062,
K2-233 c,K2-233,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,1.281,12.81,33.91,790.0,67.5062,
K2-233 d,K2-233,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.358,21.14,8.85,523.0,67.5062,
K2-237 b,K2-237,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,18.495,508.528,0.44,1884.0,314.995,F
K2-237 b,K2-237,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,16.197,433.20012,0.562,1828.0,314.995,
K2-237 b,K2-237,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,18.405,392.83788,0.37,1838.0,314.995,F
K2-238 b,K2-238,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,14.572,273.3338,0.56,1587.0,537.963,G
K2-24 b,K2-24,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,5.68,21.0,0.63,767.0,170.562,G
K2-24 c,K2-24,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,7.82,27.0,0.31,606.0,170.562,G
K2-260 b,K2-260,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,17.396,451.3186,0.5,1957.0,663.834,F
K2-261 b,K2-261,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,9.528,70.87609,0.483,1080.0,213.283,G
K2-261 b,K2-261,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,9.528,59.75174,0.38,1046.0,213.283,
K2-261 b,K2-261,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,9.505,67.69745,0.43,1030.0,213.283,
K2-263 b,K2-263,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.41,14.8,5.7,470.0,162.481,G
K2-263 b,K2-263,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.41,14.9,5.8,470.0,162.481,
K2-266 d,K2-266,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.93,8.9,2.03,538.0,77.5586,
K2-266 e,K2-266,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.73,14.3,2.21,490.0,77.5586,
K2-27 b,K2-27,3,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,4.48,30.9,1.87,902.0,249.645,
K2-280 b,K2-280,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,7.5,37.1,0.48,787.0,391.537,
K2-285 b,K2-285,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,2.59,9.68,3.07,1089.0,154.961,K
K2-285 c,K2-285,1,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,3.53,15.68,1.95,741.0,154.961,K
K2-29 b,K2-29,2,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,13.339,232.0159,0.53,1171.0,178.475,G
K2-29 b,K2-29,2,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,11.209,194.82979,0.76,1076.0,178.475,K
K2-290 b,K2-290,3,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2019-01-01,3.06,10.9,4.1,1230.0,272.909,
K2-290 c,K2-290,3,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2019-01-01,11.276,246.00042,1.01,676.0,272.909,
K2-292 b,K2-292,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2019-01-01,2.63,24.5,7.4,795.0,114.293,G
K2-295 b,K2-295,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2018-01-01,10.054,106.47305,0.612,852.0,232.801,K
K2-3 b,K2-3,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,2.25,6.47,3.12,513.0,44.0727,
K2-3 b,K2-3,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,2.078,5.11,3.11,501.0,44.0727,M
K2-3 c,K2-3,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,1.582,2.68,3.7,372.0,44.0727,M
K2-3 c,K2-3,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,1.69,3.3,3.7,381.0,44.0727,
K2-3 d,K2-3,1,3,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2015-01-01,1.62,1.6,2.1,312.0,44.0727,
K2-30 b,K2-30,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,11.982,187.20187,0.598,1203.0,333.042,G
K2-30 b,K2-30,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,13.406,198.00809,0.483,1185.0,333.042,G
K2-30 b,K2-30,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,11.646,184.02357,0.64,1092.0,333.042,G
K2-32 b,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,5.299,15.0,0.55,837.0,157.682,
K2-32 b,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,5.13,16.5,0.67,817.0,157.682,
K2-32 c,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.01,12.1,2.7,619.0,157.682,
K2-32 c,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.134,8.1,1.43,634.0,157.682,
K2-32 d,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.43,10.3,1.38,537.0,157.682,
K2-32 d,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.484,6.7,0.87,550.0,157.682,
K2-32 e,K2-32,2,4,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2019-01-01,1.212,2.1,6.3,1066.0,157.682,
K2-329 b,K2-329,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2020-01-01,8.676,82.6358,0.694,650.0,233.237,
K2-34 b,K2-34,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,15.132,559.3808,0.94,1742.0,348.646,F
K2-34 b,K2-34,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,15.435,539.67534,0.8,1715.0,348.646,F
K2-36 b,K2-36,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.43,3.9,7.2,1224.0,109.749,
K2-36 b,K2-36,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.43,4.3,8.0,1328.0,109.749,
K2-36 c,K2-36,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.2,7.9,1.3,854.0,109.749,
K2-36 c,K2-36,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,3.2,7.8,1.3,788.0,109.749,
K2-38 b,K2-38,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.55,12.0,17.5,1184.0,192.69,G
K2-38 b,K2-38,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.54,7.3,11.0,1266.0,192.69,G
K2-38 b,K2-38,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,1.655,7.7,9.3,1310.0,192.69,
K2-38 c,K2-38,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.49,7.4,2.63,949.0,192.69,
K2-38 c,K2-38,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.29,8.3,3.8,916.0,192.69,G
K2-38 c,K2-38,1,2,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.42,9.9,3.6,858.0,192.69,G
K2-39 b,K2-39,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,5.71,39.8,1.17,1670.0,307.47,
K2-60 b,K2-60,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,7.656,135.39558,1.7,1400.0,491.87,G
K2-66 b,K2-66,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,2.49,21.3,7.8,1372.0,513.877,
K2-79 b,K2-79,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,4.09,9.2,0.73,1022.0,256.011,
K2-98 b,K2-98,1,1,0,K2,Transit,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-01,4.3,32.2,2.15,1102.0,518.625,F
KELT-10 b,KELT-10,1,1,0,KELT-South,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2016-01-01,15.681,215.80657,0.308,1377.0,188.404,G
KELT-11 b,KELT-11,1,1,0,KELT-South,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2017-01-01,15.356,61.97685,0.093,1712.0,99.1596,
KELT-12 b,KELT-12,1,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2017-01-01,19.952,301.9385,0.209,1800.0,368.03,
KELT-14 b,KELT-14,1,1,0,KELT-South,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2016-01-01,19.537,408.09372,0.322,1970.0,250.121,G
KELT-14 b,KELT-14,1,1,0,KELT-South,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2016-01-01,17.038,380.12468,0.421,1904.0,250.121,
KELT-15 b,KELT-15,2,1,0,KELT-South,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2016-01-01,16.175,289.2253,0.36,1642.0,324.683,
KELT-16 b,KELT-16,2,1,0,KELT,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2017-01-01,15.861,874.0325,1.2,2453.0,444.586,F
KELT-17 b,KELT-17,1,1,0,KELT,Transit,Multiple Telescopes,Multiple Instruments,2016-01-01,17.094,416.3573,0.46,2087.0,226.5,A
KELT-18 b,KELT-18,2,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2017-01-01,17.598,375.0394,0.377,2085.0,321.376,F
KELT-19 A b,KELT-19 A,2,1,0,KELT,Transit,Multiple Telescopes,Multiple Instruments,2017-01-01,21.409,1293.5681,0.744,1935.0,300.276,A
KELT-20 b,KELT-20,1,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2017-01-01,19.515,1074.90106,0.806,2262.0,136.426,A
KELT-21 b,KELT-21,1,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2018-01-01,17.777,1242.7153,1.24,2051.0,470.878,A
KELT-23 A b,KELT-23 A,2,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2019-01-01,14.83,298.12454,0.503,1561.0,126.261,G
KELT-24 b,KELT-24,1,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2019-01-01,14.258,1646.3594,3.13,1459.0,96.5173,
KELT-24 b,KELT-24,1,1,0,KELT-North,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2019-01-01,15.244,1334.87931,2.3,1473.0,96.5173,F
KELT-3 b,KELT-3,2,1,0,KELT,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2013-01-01,15.076,469.415,0.75,1816.0,210.252,
KELT-4 A b,KELT-4 A,3,1,0,KELT,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2016-01-01,19.044,286.68266,0.228,1823.0,218.05,F
KELT-6 b,KELT-6,1,2,0,KELT,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2014-01-01,13.372,136.661,0.311,1313.0,240.726,F
KELT-7 b,KELT-7,1,1,0,KELT,Transit,Mamiya 645 80mm f/1.9,Apogee 4K CCD Sensor,2015-01-01,17.183,406.8224,0.442,2048.0,136.681,F
